Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
a203,45,67.97341878,2,Infubinol,Female,20,23
a251,45,65.52574285,1,Infubinol,Female,21,25
a275,45,62.99935619,3,Ceftamin,Female,20,28
a411,45,38.4076183,1,Ramicane,Male,3,22
a444,45,43.0475426,0,Ramicane,Female,10,25
a520,45,38.81036633,1,Ramicane,Male,13,21
a577,30,57.03186187,2,Infubinol,Female,6,25
a644,45,32.97852192,1,Ramicane,Female,7,17
a685,45,66.08306589,3,Infubinol,Male,8,30
b128,45,38.98287774,2,Capomulin,Female,9,22
b447,0,45.0,0,Ceftamin,Male,2,30
b487,25,56.05774909,1,Ceftamin,Female,6,28
b742,45,38.93963263,0,Capomulin,Male,7,21
b759,30,55.74282869,1,Ceftamin,Female,12,25
c139,45,72.2267309,2,Infubinol,Male,11,28
c326,5,36.3213458,0,Infubinol,Female,18,25
c458,30,38.34200823,2,Ramicane,Female,23,20
c758,45,33.39765251,1,Ramicane,Male,9,17
c895,30,60.96971133,2,Infubinol,Female,7,29
d251,45,37.31123552,2,Ramicane,Female,8,19
e476,45,62.43540402,1,Infubinol,Male,23,26
e662,45,40.65900627,2,Ramicane,Male,8,24
f345,45,60.91876652,1,Infubinol,Male,23,26
f436,15,48.72207785,2,Ceftamin,Female,3,25
f966,20,30.48598484,0,Capomulin,Male,16,17
g288,45,37.07402422,1,Capomulin,Male,3,19
g316,45,40.1592203,2,Capomulin,Female,22,22
g791,45,29.12847181,1,Ramicane,Male,11,16
h531,5,47.7846818,0,Ceftamin,Male,5,27
i177,45,33.56240217,3,Ramicane,Male,10,18
i334,45,36.37451039,2,Ramicane,Female,8,20
i386,40,67.28962147,4,Infubinol,Female,23,29
i557,45,47.68596303,1,Capomulin,Female,1,24
i738,45,37.31184577,2,Capomulin,Female,23,20
j119,45,38.1251644,1,Capomulin,Female,7,23
j246,35,38.75326548,1,Capomulin,Female,21,21
j296,45,61.84902336,3,Ceftamin,Female,24,30
j913,45,31.56046955,1,Ramicane,Female,4,17
j989,45,36.13485243,1,Ramicane,Male,8,19
k210,45,68.92318457,3,Ceftamin,Male,15,28
k403,45,22.05012627,1,Ramicane,Male,21,16
k483,45,66.19691151,3,Infubinol,Female,20,30
k804,35,62.11727887,2,Infubinol,Female,23,29
l471,45,67.74866174,1,Ceftamin,Female,7,28
l490,30,57.91838132,3,Ceftamin,Male,24,26
l509,45,41.48300765,3,Capomulin,Male,17,21
l558,10,46.78453491,0,Ceftamin,Female,13,30
l661,45,59.85195552,3,Ceftamin,Male,18,26
l733,45,64.29983003,1,Ceftamin,Female,4,30
l897,45,38.84687569,1,Capomulin,Male,17,19
m546,45,30.56462509,1,Ramicane,Male,18,16
m601,45,28.43096411,1,Capomulin,Male,22,17
m756,5,47.01036401,1,Infubinol,Male,19,30
m957,45,33.32909778,1,Capomulin,Female,3,19
n364,45,31.09533505,1,Ramicane,Male,4,17
n671,30,60.16518046,0,Infubinol,Male,18,25
o287,45,59.74190064,4,Ceftamin,Male,2,28
o809,35,55.62942846,1,Infubinol,Male,3,25
o813,5,45.69933088,0,Infubinol,Male,24,28
p438,45,61.43389223,1,Ceftamin,Female,11,26
q132,30,54.65654872,4,Infubinol,Female,1,30
q483,40,64.19234114,1,Ceftamin,Male,6,26
q597,45,45.22086888,2,Ramicane,Male,20,25
q610,35,36.56165229,2,Ramicane,Female,18,21
r157,15,46.53920617,0,Capomulin,Male,22,25
r554,45,32.37735684,3,Capomulin,Female,8,17
r811,45,37.22565033,1,Ramicane,Male,9,19
r921,30,43.41938077,1,Ramicane,Female,5,25
r944,45,41.58152074,2,Capomulin,Male,12,25
s121,25,55.65068132,2,Infubinol,Male,23,26
s185,45,23.34359787,1,Capomulin,Female,3,17
s508,45,30.27623175,0,Ramicane,Male,1,17
s710,45,40.72857787,1,Capomulin,Female,1,23
t565,45,34.45529799,0,Capomulin,Female,20,17
t573,0,45.0,0,Ceftamin,Female,15,27
u149,25,52.92534846,0,Ceftamin,Male,24,29
u153,0,45.0,0,Ceftamin,Female,11,25
u196,45,40.66771292,3,Ramicane,Male,18,25
u364,45,31.02392294,3,Capomulin,Male,18,17
v339,5,46.25011212,0,Infubinol,Male,20,26
v719,20,54.04860769,1,Infubinol,Female,17,30
v766,15,51.54243058,1,Infubinol,Male,16,27
v923,45,40.65812366,2,Capomulin,Female,19,21
w150,10,39.95234669,0,Capomulin,Male,23,23
w151,45,67.52748237,3,Ceftamin,Male,24,25
w193,20,50.00513807,0,Infubinol,Male,22,30
w584,30,58.26844248,1,Infubinol,Male,3,29
w678,5,43.16637266,0,Ramicane,Female,5,24
w914,45,36.04104736,2,Capomulin,Male,24,21
x226,0,45.0,0,Ceftamin,Male,23,28
x401,45,28.48403281,0,Capomulin,Female,16,15
x581,45,64.63494887,3,Ceftamin,Female,19,28
x822,45,61.38666032,3,Ceftamin,Male,3,29
y163,45,67.68556862,3,Infubinol,Female,17,27
y449,15,44.18345092,0,Ramicane,Male,19,24
y769,45,68.59474498,4,Ceftamin,Female,6,27
y793,45,31.8962384,2,Capomulin,Male,17,17
y865,45,64.72983655,3,Ceftamin,Male,23,26
z578,45,30.63869575,0,Ramicane,Male,11,16
z581,45,62.75445141,3,Infubinol,Female,24,25
